|Run	|Epoch	#PerTrlMSec	#FillSSE	#FillAvgSSE	#FillPctErr	#FillPctCor	#FillCosDiff	#InpSSE	#InpAvgSSE	#InpPctErr	#InpPctCor	#InpCosDiff	#UnAmbFillErr	#AmbFillErr	#CurQFillErr	#RevQFillErr	#UnAmbFillSSE	#AmbFillSSE	#CurQFillSSE	#RevQFillSSE	#UnAmbFillCosDiff	#AmbFillCosDiff	#CurQFillCosDiff	#RevQFillCosDiff	#Encode ActAvg	#Encode Hog	#Encode Dead	#EncodeCT ActAvg	#EncodeCT Hog	#EncodeCT Dead	#Gestalt ActAvg	#Gestalt Hog	#Gestalt Dead	#GestaltCT ActAvg	#GestaltCT Hog	#GestaltCT Dead	#Decode ActAvg	#Decode Hog	#Decode Dead
0	46	13.28	0.3966	0.007211	0.2604	0.7396	0.7683	0.2825	0.005651	0.3207	0.6793	0.6327	0.1791	0.3202	0.134	0.3544	0.2688	0.4945	0.217	0.5235	0.8459	0.7061	0.8777	0.6885	0.2088	0.1111	0	0.1068	0.07639	0.1944	0.05271	0.02083	0.3681	0.0338	0	0.1042	0.1471	0	0.01389
0	47	13.04	0.4569	0.008306	0.2918	0.7082	0.7183	0.2877	0.005754	0.3341	0.6659	0.6251	0.2018	0.3189	0.144	0.4051	0.3135	0.5017	0.2318	0.6261	0.8107	0.6865	0.861	0.609	0.2081	0.06944	0	0.1069	0.08333	0.2153	0.05323	0.006944	0.3472	0.03388	0	0.0625	0.1461	0	0.01389
0	48	13.28	0.474	0.008618	0.2963	0.7037	0.7233	0.264	0.00528	0.3247	0.6753	0.6417	0.1811	0.3273	0.148	0.4097	0.2787	0.5322	0.2479	0.641	0.8382	0.6886	0.8611	0.6183	0.2087	0.125	0	0.1074	0.09028	0.2222	0.0533	0.01389	0.3403	0.03391	0	0.08333	0.1471	0	0.01389
0	49	13.27	0.4353	0.007915	0.2719	0.7281	0.7505	0.2673	0.005345	0.3247	0.6753	0.6367	0.1559	0.317	0.142	0.3695	0.2365	0.5191	0.2416	0.5731	0.8645	0.7024	0.8647	0.6673	0.2063	0.06944	0	0.1075	0.09028	0.2222	0.05283	0	0.3472	0.03394	0	0.04861	0.1448	0	0.01389
0	50	13.13	0.4343	0.007896	0.2718	0.7282	0.7445	0.2921	0.005843	0.3378	0.6622	0.6173	0.1527	0.3199	0.14	0.3708	0.2295	0.5241	0.2327	0.5809	0.8645	0.6921	0.8661	0.6543	0.2082	0.09722	0	0.1076	0.09028	0.2014	0.053	0.006944	0.3472	0.03396	0	0.08333	0.1473	0	0.01389
0	51	13.37	0.42	0.007636	0.2661	0.7339	0.7517	0.2703	0.005406	0.3259	0.6741	0.6347	0.1562	0.3103	0.156	0.3384	0.2342	0.5012	0.2484	0.5313	0.8574	0.7075	0.8564	0.6817	0.2076	0.1042	0	0.1076	0.08333	0.2153	0.05317	0.01389	0.3611	0.03374	0	0.09028	0.1458	0	0.01389
0	52	13.39	0.4636	0.008429	0.2908	0.7092	0.7252	0.2803	0.005606	0.3288	0.6712	0.6272	0.2041	0.3099	0.144	0.4041	0.3159	0.5033	0.2349	0.6375	0.813	0.7015	0.8629	0.6195	0.208	0.07639	0	0.1077	0.09722	0.1944	0.05429	0.006944	0.3194	0.03391	0	0.08333	0.1471	0	0.006944
0	53	13.45	0.4327	0.007867	0.2673	0.7327	0.7446	0.2615	0.005229	0.3113	0.6887	0.6435	0.2022	0.2757	0.138	0.3639	0.3329	0.44	0.226	0.5855	0.8047	0.739	0.8718	0.6478	0.2085	0.1042	0	0.1077	0.09028	0.2014	0.05401	0.01389	0.3264	0.03395	0	0.09028	0.1475	0	0.01389
0	54	13.32	0.3467	0.006304	0.228	0.772	0.7907	0.2571	0.005141	0.3132	0.6868	0.6493	0.1464	0.28	0.126	0.2995	0.219	0.4309	0.1974	0.4482	0.8648	0.744	0.8857	0.7233	0.2074	0.1042	0	0.1076	0.08333	0.2153	0.05367	0.01389	0.3611	0.0341	0	0.1181	0.1467	0	0.01389
0	55	13	0.3845	0.006991	0.25	0.75	0.7761	0.2834	0.005668	0.3419	0.6581	0.6234	0.1636	0.2773	0.134	0.3342	0.2313	0.4457	0.217	0.5	0.858	0.7473	0.8799	0.7008	0.2075	0.09028	0	0.1077	0.08333	0.1806	0.05441	0.006944	0.3403	0.03398	0	0.1111	0.1473	0	0.01389
